review,sentiment
 the flatiron in the room turned out to be broken very few receptacles,0
 Excellent breakfast and good service Very comfortable room and bed Personal touch of card and cake for anniversary Proximity to St James Park and Buckingham Palace for a walk the morning after our celebration dinner ,1
 Loads of roadworks around entrance made access on foot tricky Couple of sidelights in room did not work Shower controls a bit of a mystery ,0
 A little far from the centre but trams frequent,0
No Negative,0
 Rooms on top floor very warm,0
 They had our rooms mixed up and gave our key to someone else after we d checked in Another couple walked in when we were having a nap Not great Room are tiny however I appreciate that goes with the territory in London ,0
 It might have been useful to know there are roadworks ongoing outside the front entrance This didn t affect me as I was at the back but some customers might have been bothered by the noise ,0
 Great location equidistant from the various must see sights in London ,1
 The bed was not too comfortable,0
 Breakfast and bathroom facilities,0
 Location and court yard how quiet it was ,1
 Immediate payment request for room service Majority of hotels accept signature on delivery receipt ,0
No Negative,0
 Very good location yet quiet hotel,1
 Excellent friendly staff good location,1
 I can t think of anything that we didn t enjoy ,0
 room dimension,0
 The elevator and at night the room was so cold,0
No Positive,1
No hot water in the morning as the boilers broke which meant we couldn t get a shower bath before leaving The kettle leaked from the glass indicator so we was unable to use that too For 200 I expected a lot more,0
The hotel is clean The staff is very friendly The room was relatively big so I had space to move around The staff is super friendly and the Location is perfect The tube is extremely close and while you usually have to switch trains the fact that the station is small and easy to get around is a big bonus For example you might think that being close to Kings Cross is a better location but that station is huge and just to get in and out of it is at least 10 minutes and that s if you get the exit right Switching trains is very easy and convenient and in my opinion should not be taking into consideration when choosing a location It s also located in front of Russel Square Park which is very nice,1
 Loo flush wasn t very effective bit of an acquired skill Not enough plug sockets in room coffee terrible,0
 Location very good Staff very friendly Enjoyed reading about history of building,1
No Positive,1
 Nothing all good,0
 The room was comfortable and the separate shower was nice The kichenette was also nice to have ,1
 Breakfast wasn t included in the price,0
 Everyone was very polite and the food was excellent I will definitely stay there again,1
 The location was great felt secure and safe Lovely surroundings and interior The restaurant was splendid The staff were very friendly ,1
 Very good location safe and quiet in Latin Quarter can walk or take metro easily to most attractions and RER directly to the airport And late afternoon I can always have a recess at the bueatiful Luxembourg park around the corner Plenty of nice and affordable local and Asian restaurants I like especially Au P re Louis and Sushiyaki I stayed for six nights and came back for dinner every day This area is only a couple of minutes walk off the major tourist zone but already much less noisy and you got better food and service My room is on top floor and the view is awesome one day I saw sunset on Effel tower and it was amazing ,1
 Facilities were great my room was great value for money and the restaurant was great ,1
 Nothing,0
 Bathroom being a wet room and it taking ages to dry after you have had a shower ,0
